ModelName,GameNumber,ID_RunTime,NumGamesPlayed,Score,BlockHits,PaddleHits,TimePlayed,WinStatus
Paddle - lc_28_500k,91,2000,2/28/2021 7:52:01 PM,10,1,0,0.1,0
Paddle - lc_28_500k,92,2000,2/28/2021 7:52:01 PM,0,0,0,2.32,0
Paddle - lc_28_500k,93,2000,2/28/2021 7:52:01 PM,120,12,0,4.73,0
Paddle - lc_28_500k,94,2000,2/28/2021 7:52:01 PM,40,4,1,3.23,0
Paddle - lc_28_500k,95,2000,2/28/2021 7:52:01 PM,190,19,3,10.96,0
Paddle - lc_28_500k,96,2000,2/28/2021 7:52:01 PM,10,1,0,1.92,0
Paddle - lc_28_500k,97,2000,2/28/2021 7:52:01 PM,40,4,1,4.43,0
Paddle - lc_28_500k,98,2000,2/28/2021 7:52:01 PM,10,1,0,0.44,0
Paddle - lc_28_500k,99,2000,2/28/2021 7:52:01 PM,210,21,2,24.1,1
Paddle - lc_28_500k,100,2000,2/28/2021 7:52:01 PM,10,1,0,0.68,0
Paddle - lc_28_500k,101,2000,2/28/2021 7:52:01 PM,10,1,0,0.94,0
Paddle - lc_28_500k,102,2000,2/28/2021 7:52:01 PM,140,14,1,11.51,0
Paddle - lc_28_500k,103,2000,2/28/2021 7:52:01 PM,10,1,0,0.44,0
Paddle - lc_28_500k,104,2000,2/28/2021 7:52:01 PM,50,5,1,4.69,0
Paddle - lc_28_500k,105,2000,2/28/2021 7:52:01 PM,10,1,0,2.94,0
Paddle - lc_28_500k,106,2000,2/28/2021 7:52:01 PM,130,13,1,10,0
Paddle - lc_28_500k,107,2000,2/28/2021 7:52:01 PM,20,2,1,2.48,0
Paddle - lc_28_500k,108,2000,2/28/2021 7:52:01 PM,10,1,0,1.2,0
Paddle - lc_28_500k,109,2000,2/28/2021 7:52:01 PM,40,4,0,3.07,0
Paddle - lc_28_500k,110,2000,2/28/2021 7:52:01 PM,110,11,1,14.47,0
Paddle - lc_28_500k,111,2000,2/28/2021 7:52:01 PM,0,0,2,4.31,0
Paddle - lc_28_500k,112,2000,2/28/2021 7:52:01 PM,40,4,0,2.58,0
Paddle - lc_28_500k,113,2000,2/28/2021 7:52:01 PM,10,1,0,0.52,0
Paddle - lc_28_500k,114,2000,2/28/2021 7:52:01 PM,10,1,0,0.76,0
Paddle - lc_28_500k,115,2000,2/28/2021 7:52:01 PM,10,1,0,0.48,0
Paddle - lc_28_500k,116,2000,2/28/2021 7:52:01 PM,10,1,0,1.17,0
Paddle - lc_28_500k,117,2000,2/28/2021 7:52:01 PM,100,10,0,5.47,0
Paddle - lc_28_500k,118,2000,2/28/2021 7:52:01 PM,120,12,0,11.47,0
Paddle - lc_28_500k,119,2000,2/28/2021 7:52:01 PM,10,1,0,0.82,0
Paddle - lc_28_500k,120,2000,2/28/2021 7:52:01 PM,10,1,1,4.15,0
Paddle - lc_28_500k,121,2000,2/28/2021 7:52:01 PM,10,1,0,2.21,0
Paddle - lc_28_500k,122,2000,2/28/2021 7:52:01 PM,80,8,0,3.02,0
Paddle - lc_28_500k,123,2000,2/28/2021 7:52:01 PM,40,4,0,2.36,0
Paddle - lc_28_500k,124,2000,2/28/2021 7:52:01 PM,10,1,0,2.11,0
Paddle - lc_28_500k,125,2000,2/28/2021 7:52:01 PM,10,1,0,1.52,0
Paddle - lc_28_500k,126,2000,2/28/2021 7:52:01 PM,30,3,1,2.27,0
Paddle - lc_28_500k,127,2000,2/28/2021 7:52:01 PM,10,1,0,0.96,0
Paddle - lc_28_500k,128,2000,2/28/2021 7:52:01 PM,10,1,0,0.12,0
Paddle - lc_28_500k,129,2000,2/28/2021 7:52:01 PM,10,1,0,0.48,0
Paddle - lc_28_500k,130,2000,2/28/2021 7:52:01 PM,30,3,2,5.06,0
Paddle - lc_28_500k,131,2000,2/28/2021 7:52:01 PM,40,4,3,6.62,0
Paddle - lc_28_500k,132,2000,2/28/2021 7:52:01 PM,150,15,2,11.37,0
Paddle - lc_28_500k,133,2000,2/28/2021 7:52:01 PM,10,1,0,0.44,0
Paddle - lc_28_500k,134,2000,2/28/2021 7:52:01 PM,10,1,0,0.78,0
Paddle - lc_28_500k,135,2000,2/28/2021 7:52:01 PM,20,2,1,3.81,0
Paddle - lc_28_500k,136,2000,2/28/2021 7:52:01 PM,60,6,0,16.4,0
Paddle - lc_28_500k,137,2000,2/28/2021 7:52:01 PM,50,5,0,2.62,0
Paddle - lc_28_500k,138,2000,2/28/2021 7:52:01 PM,30,3,0,2.26,0
